1.186	0.049
1.086	0.055
0.986	0.057
0.886	0.057
0.786	0.056
0.686	0.053
0.586	0.050
0.486	0.047
0.386	0.042
0.286	0.038
0.186	0.033
0.086	0.028
-0.014	0.022
-0.114	0.017
-0.214	0.010
-0.314	0.004
-0.414	-0.002
-0.514	-0.009
-0.614	-0.015
-0.714	-0.022
-0.814	-0.029
-0.914	-0.036
-1.014	-0.043
-1.114	-0.049
-1.214	-0.056
-1.214	-0.062
-1.114	-0.064
-1.014	-0.064
-0.914	-0.063
-0.814	-0.060
-0.714	-0.056
-0.614	-0.053
-0.514	-0.049
-0.414	-0.045
-0.314	-0.040
-0.214	-0.035
-0.114	-0.030
-0.014	-0.024
0.086	-0.018
0.186	-0.012
0.286	-0.006
0.386	0.001
0.486	0.008
0.586	0.014
0.686	0.021
0.786	0.028
0.886	0.035
0.986	0.042
1.086	0.048
1.186	0.055
