1.186	0.025
1.176	0.040
1.166	0.050
1.156	0.056
1.146	0.061
1.136	0.063
1.126	0.066
1.116	0.066
1.106	0.067
1.096	0.067
1.086	0.067
1.076	0.067
1.066	0.067
1.056	0.067
1.046	0.067
1.036	0.066
1.026	0.066
1.016	0.065
1.006	0.065
0.996	0.065
0.986	0.064
0.976	0.064
0.966	0.064
0.956	0.063
0.946	0.063
0.936	0.062
0.926	0.062
0.916	0.061
0.906	0.061
0.896	0.061
0.886	0.060
0.876	0.060
0.866	0.060
0.856	0.059
0.846	0.059
0.836	0.058
0.826	0.058
0.816	0.057
0.806	0.057
0.796	0.057
0.786	0.057
0.776	0.056
0.766	0.055
0.756	0.055
0.746	0.054
0.736	0.054
0.726	0.053
0.716	0.053
0.706	0.053
0.696	0.052
0.686	0.052
0.676	0.051
0.666	0.051
0.656	0.051
0.646	0.050
0.636	0.049
0.626	0.048
0.616	0.048
0.606	0.047
0.596	0.047
0.586	0.046
0.576	0.046
0.566	0.045
0.556	0.045
0.546	0.045
0.536	0.044
0.526	0.043
0.516	0.043
0.506	0.042
0.496	0.042
0.486	0.041
0.476	0.041
0.466	0.040
0.456	0.040
0.446	0.039
0.436	0.039
0.426	0.038
0.416	0.037
0.406	0.037
0.396	0.036
0.386	0.036
0.376	0.035
0.366	0.034
0.356	0.034
0.346	0.033
0.336	0.033
0.326	0.032
0.316	0.031
0.306	0.031
0.296	0.030
0.286	0.030
0.276	0.029
0.266	0.029
0.256	0.028
0.246	0.027
0.236	0.026
0.226	0.026
0.216	0.025
0.206	0.024
0.196	0.025
0.186	0.023
0.176	0.023
0.166	0.022
0.156	0.023
0.146	0.021
0.136	0.020
0.126	0.019
0.116	0.019
0.106	0.018
0.096	0.018
0.086	0.017
0.076	0.016
0.066	0.016
0.056	0.015
0.046	0.014
0.036	0.014
0.026	0.013
0.016	0.012
0.006	0.011
-0.004	0.011
-0.014	0.010
-0.024	0.009
-0.034	0.009
-0.044	0.008
-0.054	0.008
-0.064	0.007
-0.074	0.006
-0.084	0.006
-0.094	0.005
-0.104	0.004
-0.114	0.004
-0.124	0.003
-0.134	0.002
-0.144	0.001
-0.154	0.000
-0.164	0.001
-0.174	-0.001
-0.184	-0.001
-0.194	-0.002
-0.204	-0.003
-0.214	-0.004
-0.224	-0.004
-0.234	-0.005
-0.244	-0.006
-0.254	-0.007
-0.264	-0.008
-0.274	-0.008
-0.284	-0.008
-0.294	-0.009
-0.304	-0.010
-0.314	-0.011
-0.324	-0.012
-0.334	-0.012
-0.344	-0.014
-0.354	-0.014
-0.364	-0.015
